o_order_id,o_customer_sk,weekday,date,store
509,2310,"Tuesday","2013-09-17",11
510,4852,"Wednesday","2013-01-16",1
511,1935,"Monday","2012-11-26",8
512,5001,"Tuesday","2013-04-16",4
513,2419,"Wednesday","2012-12-19",1
514,6673,"Thursday","2013-09-19",7
515,5477,"Thursday","2012-06-07",7
516,4694,"Wednesday","2013-08-07",2
517,5265,"Friday","2012-12-07",9
518,6307,"Monday","2013-08-05",8
519,2077,"Thursday","2013-11-14",8
520,2289,"Wednesday","2012-07-25",9
521,6426,"Tuesday","2013-09-10",1
522,6346,"Wednesday","2012-05-30",9
523,6437,"Monday","2012-09-10",7
524,6722,"Monday","2012-12-24",9
525,3707,"Wednesday","2013-03-06",6
526,3366,"Tuesday","2013-10-15",4
527,276,"Wednesday","2013-07-10",4
528,1393,"Wednesday","2012-02-29",2
529,5443,"Thursday","2013-03-21",8
530,6282,"Wednesday","2012-11-21",6
531,5586,"Monday","2013-09-02",2
532,869,"Tuesday","2012-08-14",7
533,1072,"Thursday","2012-04-26",5
534,2262,"Friday","2012-01-20",2
535,4851,"Tuesday","2012-12-18",10
536,6843,"Monday","2012-04-23",7
537,6151,"Monday","2013-10-14",3
538,2521,"Wednesday","2012-08-15",11
539,1672,"Wednesday","2012-11-28",6
540,6294,"Saturday","2013-05-11",5
541,3601,"Wednesday","2013-05-08",10
542,4119,"Saturday","2012-06-09",1
543,6917,"Wednesday","2013-11-13",4
544,710,"Thursday","2013-07-11",11
545,1972,"Tuesday","2013-07-30",8
546,3187,"Wednesday","2013-11-27",9
547,1659,"Friday","2012-03-30",5
548,4570,"Tuesday","2012-10-23",10
549,3853,"Thursday","2013-12-19",1
550,6938,"Thursday","2013-01-31",2
551,6482,"Wednesday","2012-02-29",7
552,2026,"Saturday","2012-10-06",4
553,4073,"Thursday","2013-12-19",4
554,6487,"Wednesday","2013-12-04",1
555,2940,"Thursday","2012-04-26",5
556,3869,"Friday","2012-12-07",1
557,630,"Friday","2012-01-13",4
558,3290,"Thursday","2013-02-28",7
559,932,"Wednesday","2012-10-03",7
560,5951,"Thursday","2013-12-12",5
561,5450,"Monday","2012-11-19",3
562,6275,"Thursday","2013-11-07",10
563,3420,"Wednesday","2013-06-05",4
564,1057,"Monday","2012-01-09",10
565,1804,"Wednesday","2013-12-04",10
566,4250,"Wednesday","2012-11-07",5
567,4576,"Monday","2013-02-04",6
568,6494,"Saturday","2013-03-02",10
569,829,"Wednesday","2013-11-20",4
570,1684,"Sunday","2013-09-22",7
571,6884,"Saturday","2013-05-18",8
572,5960,"Wednesday","2012-03-21",11
573,3524,"Wednesday","2013-08-28",10
574,5225,"Tuesday","2013-01-22",1
575,1856,"Friday","2012-04-20",6
576,2986,"Wednesday","2012-09-19",7
577,6751,"Saturday","2013-03-23",5
578,3913,"Monday","2013-11-25",10
579,1286,"Tuesday","2012-02-14",8
580,2380,"Monday","2013-06-17",6
581,3081,"Wednesday","2012-07-04",4
582,2136,"Thursday","2013-06-27",6
583,4809,"Saturday","2013-08-24",1
584,5094,"Wednesday","2012-03-21",1
585,5155,"Tuesday","2013-06-04",3
586,4437,"Thursday","2013-11-21",4
587,5514,"Thursday","2013-10-17",9
588,619,"Wednesday","2013-01-23",8
589,1581,"Tuesday","2013-05-14",3
590,2797,"Friday","2013-05-03",3
591,6209,"Thursday","2013-05-02",1
592,3833,"Wednesday","2012-10-10",7
593,6323,"Saturday","2012-08-18",1
594,2121,"Saturday","2012-12-01",4
595,4927,"Saturday","2013-02-23",8
596,465,"Thursday","2013-01-24",4
597,5714,"Wednesday","2012-03-14",3
598,6742,"Saturday","2013-03-16",7
599,5872,"Thursday","2013-07-18",7
600,207,"Wednesday","2012-06-06",9
601,199,"Wednesday","2012-12-19",4
602,3840,"Thursday","2012-10-04",6
603,6540,"Saturday","2012-04-21",1
604,6238,"Friday","2012-06-15",1
605,5021,"Friday","2013-07-12",9
606,5939,"Wednesday","2012-05-02",9
607,1872,"Wednesday","2013-01-02",8
608,4085,"Friday","2013-11-08",4
609,738,"Wednesday","2012-07-04",5
610,3198,"Tuesday","2013-07-30",7
611,3548,"Wednesday","2013-01-16",7
612,5309,"Friday","2013-07-05",2
613,770,"Thursday","2013-08-15",4
614,4338,"Wednesday","2013-09-11",2
615,1815,"Thursday","2013-08-08",9
616,6906,"Tuesday","2013-04-09",7
617,2723,"Wednesday","2012-08-15",10
618,5517,"Friday","2013-08-30",1
619,6161,"Monday","2012-01-09",11
620,2097,"Wednesday","2013-08-14",5
621,5430,"Wednesday","2012-05-16",11
622,3949,"Wednesday","2013-11-20",5
623,463,"Wednesday","2012-09-05",3
624,2200,"Thursday","2013-11-28",9
625,3916,"Wednesday","2013-08-21",10
626,1628,"Monday","2013-06-17",11
627,326,"Friday","2013-08-02",7
628,815,"Wednesday","2012-08-01",7
629,1629,"Monday","2013-07-22",2
630,735,"Wednesday","2013-12-18",11
631,6181,"Tuesday","2013-04-30",10
632,1198,"Wednesday","2012-12-12",2
633,891,"Wednesday","2013-07-24",11
634,6648,"Friday","2013-03-08",7
635,3946,"Tuesday","2012-06-05",3
636,5336,"Thursday","2013-01-31",5
637,1484,"Friday","2012-10-19",5
638,2209,"Monday","2012-05-28",7
639,4586,"Friday","2012-12-28",11
640,5229,"Wednesday","2013-06-05",6
641,3611,"Thursday","2012-09-06",9
642,2086,"Wednesday","2012-11-28",10
643,1441,"Thursday","2012-07-26",11
644,1775,"Tuesday","2013-08-20",1
645,5427,"Wednesday","2013-06-12",7
646,3504,"Tuesday","2013-05-21",3
647,5655,"Wednesday","2012-04-04",4
648,4961,"Wednesday","2012-05-09",5
649,6390,"Monday","2012-01-23",7
650,6972,"Thursday","2013-06-27",7
651,2083,"Monday","2012-04-23",4
652,4787,"Monday","2013-07-29",1
653,6082,"Monday","2013-06-24",4
654,4934,"Monday","2012-10-29",11
655,3869,"Wednesday","2013-05-15",8
656,5650,"Wednesday","2012-02-08",7
657,4359,"Monday","2012-03-05",6
658,7063,"Saturday","2012-07-07",4
659,4021,"Wednesday","2012-11-07",10
660,4033,"Wednesday","2012-07-25",4
661,2440,"Friday","2012-02-24",1
662,1428,"Wednesday","2013-10-30",6
663,2226,"Monday","2013-03-25",7
664,5030,"Wednesday","2013-10-02",8
665,5121,"Thursday","2012-11-01",2
666,1179,"Wednesday","2013-07-17",5
667,6781,"Wednesday","2012-09-12",10
668,3019,"Thursday","2013-06-13",1
669,803,"Monday","2012-11-05",9
670,1176,"Thursday","2013-02-07",8
671,5569,"Tuesday","2012-04-17",1
672,3122,"Friday","2013-09-20",7
673,6183,"Monday","2013-09-02",5
674,1458,"Tuesday","2013-05-21",4
675,1955,"Wednesday","2012-02-08",8
676,4272,"Tuesday","2012-01-31",6
677,2667,"Friday","2013-09-27",9
678,628,"Wednesday","2012-10-17",10
679,3626,"Tuesday","2012-03-13",9
680,720,"Wednesday","2013-01-16",6
681,1778,"Tuesday","2013-08-13",6
682,1975,"Monday","2013-07-08",2
683,3711,"Thursday","2012-04-26",6
684,2585,"Friday","2013-06-28",5
685,790,"Monday","2012-11-19",1
686,773,"Friday","2013-10-18",9
687,1478,"Thursday","2012-02-23",2
688,1816,"Wednesday","2012-01-11",11
689,3598,"Monday","2013-04-29",2
690,3866,"Saturday","2012-09-08",6
691,4433,"Thursday","2012-08-16",4
692,2529,"Thursday","2013-08-29",10
693,4132,"Wednesday","2012-12-19",6
694,2005,"Wednesday","2013-10-23",7
